id,kode_provinsi,nama_provinsi,indeks_pembangunan_manusia,satuan,tahun
438,76,SULAWESI BARAT,66.92,POIN,2022
439,81,MALUKU,70.22,POIN,2022
440,82,MALUKU UTARA,69.47,POIN,2022
441,91,PAPUA BARAT,65.89,POIN,2022
442,94,PAPUA,61.39,POIN,2022
443,11,ACEH,73.4,POIN,2023
444,12,SUMATERA UTARA,73.37,POIN,2023
445,13,SUMATERA BARAT,73.75,POIN,2023
446,14,RIAU,74.04,POIN,2023
447,15,JAMBI,72.77,POIN,2023
448,16,SUMATERA SELATAN,71.62,POIN,2023
449,17,BENGKULU,72.78,POIN,2023
450,18,LAMPUNG,71.15,POIN,2023
451,19,KEPULAUAN BANGKA BELITUNG,72.85,POIN,2023
452,21,KEPULAUAN RIAU,77.11,POIN,2023
453,31,DKI JAKARTA,82.46,POIN,2023
454,32,JAWA BARAT,73.74,POIN,2023
455,33,JAWA TENGAH,73.39,POIN,2023
456,34,DI YOGYAKARTA,81.07,POIN,2023
457,35,JAWA TIMUR,73.38,POIN,2023
458,36,BANTEN,73.87,POIN,2023
459,51,BALI,77.1,POIN,2023
460,52,NUSA TENGGARA BARAT,70.2,POIN,2023
461,53,NUSA TENGGARA TIMUR,66.68,POIN,2023
462,61,KALIMANTAN BARAT,69.41,POIN,2023
463,62,KALIMANTAN TENGAH,72.2,POIN,2023
464,63,KALIMANTAN SELATAN,72.5,POIN,2023
465,64,KALIMANTAN TIMUR,78.2,POIN,2023
466,65,KALIMANTAN UTARA,72.49,POIN,2023
467,71,SULAWESI UTARA,74.36,POIN,2023
468,72,SULAWESI TENGAH,70.95,POIN,2023
469,73,SULAWESI SELATAN,73.46,POIN,2023
470,74,SULAWESI TENGGARA,72.79,POIN,2023
471,75,GORONTALO,70.45,POIN,2023
472,76,SULAWESI BARAT,67.55,POIN,2023
473,81,MALUKU,70.94,POIN,2023
474,82,MALUKU UTARA,70.21,POIN,2023
475,91,PAPUA BARAT,66.66,POIN,2023
476,94,PAPUA,62.25,POIN,2023
477,11,ACEH,74.03,POIN,2024
478,12,SUMATERA UTARA,74.02,POIN,2024
479,13,SUMATERA BARAT,74.49,POIN,2024
480,14,RIAU,74.79,POIN,2024
481,15,JAMBI,73.43,POIN,2024
482,16,SUMATERA SELATAN,72.3,POIN,2024
483,17,BENGKULU,73.39,POIN,2024
484,18,LAMPUNG,71.81,POIN,2024
485,19,KEPULAUAN BANGKA BELITUNG,73.33,POIN,2024
486,21,KEPULAUAN RIAU,77.97,POIN,2024
487,31,DKI JAKARTA,83.08,POIN,2024
488,32,JAWA BARAT,74.43,POIN,2024
489,33,JAWA TENGAH,73.88,POIN,2024
490,34,DI YOGYAKARTA,81.55,POIN,2024
491,35,JAWA TIMUR,74.09,POIN,2024
492,36,BANTEN,74.48,POIN,2024
493,51,BALI,77.76,POIN,2024
494,52,NUSA TENGGARA BARAT,70.93,POIN,2024
495,53,NUSA TENGGARA TIMUR,67.39,POIN,2024
496,61,KALIMANTAN BARAT,70.13,POIN,2024
497,62,KALIMANTAN TENGAH,72.73,POIN,2024
498,63,KALIMANTAN SELATAN,73.03,POIN,2024
499,64,KALIMANTAN TIMUR,78.83,POIN,2024
500,65,KALIMANTAN UTARA,73.02,POIN,2024
501,71,SULAWESI UTARA,75.03,POIN,2024
502,72,SULAWESI TENGAH,71.56,POIN,2024
503,73,SULAWESI SELATAN,74.05,POIN,2024
504,74,SULAWESI TENGGARA,73.48,POIN,2024
505,75,GORONTALO,71.23,POIN,2024
506,76,SULAWESI BARAT,68.2,POIN,2024
507,81,MALUKU,71.57,POIN,2024
508,82,MALUKU UTARA,71.03,POIN,2024
509,91,PAPUA BARAT,67.02,POIN,2024
510,92,PAPUA BARAT DAYA,68.63,POIN,2024
511,94,PAPUA,73.0,POIN,2024
512,95,PAPUA SELATAN,67.9,POIN,2024
513,96,PAPUA TENGAH,59.75,POIN,2024
514,97,PAPUA PEGUNUNGAN,53.42,POIN,2024
